country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region,lag1_resistance,lag2_resistance,lag3_resistance,rolling3_mean_resistance,delta_resistance,lag1_total_DDD,lag1_watch_proportion,antibiotic_pressure_index,ses_risk_score
Belarus,E_faecium_VAN,2017,E_faecium,VAN,0.0,2.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,H_influenzae_3GC,2017,H_influenzae,3GC,0.0,2.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,H_influenzae_AMP,2017,H_influenzae,AMP,0.0,2.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,H_influenzae_FQ,2017,H_influenzae,FQ,0.0,2.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,H_influenzae_MAC,2017,H_influenzae,MAC,0.0,2.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,H_influenzae_TET,2017,H_influenzae,TET,0.0,4.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,K_pneumoniae_3GC,2017,K_pneumoniae,3GC,83.33333333333334,90.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,53.62318840579711,53.62318840579711,53.62318840579711,53.62318840579711,29.710144927536234,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,K_pneumoniae_3GC,2018,K_pneumoniae,3GC,77.77777777777779,45.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,83.33333333333334,53.62318840579711,53.62318840579711,68.47826086956522,-5.555555555555557,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,K_pneumoniae_AMG,2017,K_pneumoniae,AMG,60.0,60.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,34.78260869565217,34.78260869565217,34.78260869565217,34.78260869565217,25.217391304347828,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,K_pneumoniae_AMG,2018,K_pneumoniae,AMG,60.0,30.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,60.0,34.78260869565217,34.78260869565217,47.391304347826086,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
