country,combo,year,rf_forecast
Brazil,A_baumannii_TET,2025,74.79
Chile,A_baumannii_3GC,2025,55.36
Chile,A_baumannii_AMG,2025,48.29
Chile,A_baumannii_CARB,2025,19.8
Chile,A_baumannii_COL,2025,1.41
Chile,A_baumannii_FQ,2025,53.5
Chile,A_baumannii_TET,2025,9.88
Colombia,A_baumannii_3GC,2025,3.35
Colombia,A_baumannii_AMG,2025,1.45
Colombia,A_baumannii_CARB,2025,46.45
Colombia,A_baumannii_COL,2025,1.45
Colombia,A_baumannii_FQ,2025,1.45
Colombia,A_baumannii_TET,2025,0.78
Croatia,A_baumannii_3GC,2025,83.96
Croatia,A_baumannii_AMG,2025,91.41
Croatia,A_baumannii_CARB,2025,83.96
Croatia,A_baumannii_COL,2025,0.55
Croatia,A_baumannii_FQ,2025,83.96
Croatia,A_baumannii_TET,2025,91.41
Czech Republic,A_baumannii_3GC,2025,39.81
Czech Republic,A_baumannii_AMG,2025,39.26
Czech Republic,A_baumannii_CARB,2025,41.26
Czech Republic,A_baumannii_COL,2025,0.84
Czech Republic,A_baumannii_FQ,2025,39.81
Czech Republic,A_baumannii_TET,2025,32.53
France,A_baumannii_3GC,2025,31.92
France,A_baumannii_AMG,2025,1.42
France,A_baumannii_CARB,2025,24.93
France,A_baumannii_COL,2025,0.75
France,A_baumannii_FQ,2025,40.94
France,A_baumannii_TET,2025,38.08
Germany,A_baumannii_3GC,2025,25.03
Germany,A_baumannii_AMG,2025,18.43
Germany,A_baumannii_CARB,2025,18.42
Germany,A_baumannii_COL,2025,3.21
Germany,A_baumannii_FQ,2025,2.51
Germany,A_baumannii_TET,2025,7.39
Greece,A_baumannii_3GC,2025,96.31
Greece,A_baumannii_AMG,2025,96.29
Greece,A_baumannii_CARB,2025,96.31
Greece,A_baumannii_COL,2025,28.3
Greece,A_baumannii_FQ,2025,96.31
Greece,A_baumannii_TET,2025,99.18
Guatemala,A_baumannii_3GC,2025,97.6
Guatemala,A_baumannii_AMG,2025,89.65
Guatemala,A_baumannii_CARB,2025,96.92
Guatemala,A_baumannii_COL,2025,0.82
Guatemala,A_baumannii_FQ,2025,97.63
Guatemala,A_baumannii_TET,2025,64.37
Hungary,A_baumannii_3GC,2025,91.13
Hungary,A_baumannii_AMG,2025,89.99
Hungary,A_baumannii_CARB,2025,32.03
Hungary,A_baumannii_COL,2025,0.83
