country,year,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access
United Kingdom,2020,40812.6794663879,12.10388088,97.77022665962,3.028,2.42,82.9000015258789,71.3400491877816,32.7,100.0
United Kingdom,2021,47691.3768799404,12.08347321,97.7885681652445,3.16,2.41,82.9886431523641,71.1575290373248,32.4,100.0
United Kingdom,2022,47057.043229179,11.09679794,97.8066857038153,3.143,2.42,83.0753982997505,71.9816417972141,,100.0
United Kingdom,2023,49944.4702124201,10.99128914,97.8246558119973,3.301,,83.1601932891335,70.3073227793163,,100.0
Israel,2015,36213.1041481958,7.02090645,90.7448618571287,3.431,3.15,91.7042921554705,24.6719038817006,39.7,100.0
Israel,2016,37671.5389138798,7.09919167,91.4490218465164,3.422,3.11,91.6894623646632,25.5083179297597,39.0,100.0
Israel,2017,41138.470964272,7.17189407,92.1555250975785,3.43,3.14,91.6701057535759,29.7597042513863,38.2,99.9999992350347
Israel,2018,42362.6652754196,7.23550367,92.8643588454379,3.477,3.1,91.6456193546346,29.6349353049908,38.6,100.0
Israel,2019,44250.6313628073,7.20701885,93.5755028953008,3.521,3.1,91.6154002002652,29.5009242144177,38.3,100.0
Israel,2020,44575.5719045492,7.74801874,94.2890005588392,3.567,3.06,91.5788453228939,25.0369685767098,37.8,99.9999976530211
Israel,2021,52270.9040241956,7.83961058,95.004826119134,3.636,3.05,91.5353517549466,24.9075785582255,37.9,100.0
Israel,2022,54949.621556429,7.12004995,95.7229939697298,3.686,3.13,91.4979834273327,24.7042513863216,38.3,100.0
Israel,2023,52003.7200729997,7.09822369,96.4435050733118,3.797,3.14,91.5089569794505,24.8012939001848,,99.999996982634
Italy,2015,30639.8829751432,8.84596729,78.5888438973776,3.848,3.2,69.6100006103516,43.7748124902779,35.4,99.9170340740928
Italy,2016,31391.5692898108,8.72043991,78.533118715567,3.963,3.18,69.5969232525286,43.3250596852407,35.2,99.9170340740928
Italy,2017,32844.115660604,8.69060516,78.4773694765847,3.999,3.19,69.5180784259382,43.3743295977925,35.9,99.9170340740928
Italy,2018,34904.1081923834,8.65467453,78.4216735817248,3.987,3.15,69.4800033569336,41.948748469826,35.2,99.9170340740928
Italy,2019,33812.788724868,8.61536789,78.3660232851177,4.024,3.14,69.5050010681153,44.3699956377212,34.6,99.9170340740928
Italy,2020,32091.4866621366,9.5643034,78.3104222918211,3.97,3.16,69.5187492370606,42.332263616904,35.2,99.9170340740928
Italy,2021,36852.5425414951,9.28164482,78.2548666985218,4.064,3.09,69.4812507629394,41.9422315930434,34.8,99.9170340740928
Italy,2022,35653.9042103495,8.85022926,78.1993487998565,4.191,3.06,69.4839779766539,43.9631475720276,33.7,99.9170340740928
Italy,2023,39277.0838783918,8.40559483,78.2034845858317,,,69.5381540123301,44.2565839307453,34.3,99.9170340740928
Poland,2015,12637.5220324406,6.36490345,96.6135372212509,2.311,6.59,60.3362886805635,46.9349096965936,31.8,94.9696427851433
Poland,2016,12464.0110508476,6.5470438,97.2858766638468,2.397,6.59,60.2402284228997,46.9447075345374,31.2,94.4224326184484
Poland,2017,13913.3402919927,6.53713226,97.6851272850663,2.36,6.58,60.145888199417,47.2321107808877,29.7,93.8761307350633
Poland,2018,15658.2120316794,6.25094128,97.8339633768249,2.341,6.49,60.0533306480907,47.39850409903,30.2,93.3312333762882
Poland,2019,15874.5220531254,6.38906956,97.8289652754689,3.279,6.13,59.9626184068963,47.4437293783281,28.8,92.7883142536668
Poland,2020,16150.9304813473,6.42739105,97.8295565901886,3.303,6.15,59.8738141138092,48.1266128768824,28.5,92.2480567425882
Poland,2021,18635.5104895754,6.3654809,97.829731051133,3.415,6.22,59.8096513205543,47.3691604050964,28.5,91.710929872632
Poland,2022,18891.2121169279,6.46619797,97.8294803533006,3.424,6.04,59.8315488048321,46.3131758633082,28.9,91.1776289012676
Poland,2023,22145.2660647429,7.13848782,97.8288102965281,4.031,,59.8859561370214,47.6050543637967,28.5,90.648484121514
Portugal,2015,19215.7813014347,9.33309937,82.5894463421415,4.748,3.36,61.137469211538,39.7222440549486,35.5,99.1816068105742
Portugal,2016,19980.2808866516,9.39989281,85.3648666003035,4.93,3.39,61.1343011242723,39.5066458819112,35.2,99.1892660271038
Portugal,2017,21442.3842768879,9.32668972,88.1946427674785,5.103,3.38,61.1296726507436,40.1000899508327,33.8,99.1981706237111
Portugal,2018,23541.1401075289,9.42121029,90.8683845716909,5.276,3.43,61.1233069673808,40.791900276839,33.5,99.2082778688964
Portugal,2019,23343.3628970034,9.50868607,91.4071320819479,5.422,3.49,61.114927250613,43.1253165745326,32.8,99.2195921254353
Portugal,2020,22299.4044062173,10.52074051,91.8816622629746,5.576,3.47,61.1042566768691,43.1660902826901,34.7,99.2320711795606
Portugal,2021,24711.4510062111,11.22031498,92.3252135880382,5.711,3.49,61.0951249296597,43.2538567511157,34.6,99.2456792845516
Portugal,2022,24620.5197587181,10.5492239,92.8190405808778,5.851,3.48,61.1259255772782,42.7894964936641,36.3,99.260406703221
Portugal,2023,27634.6183139773,10.02761173,93.3760875882531,,,61.2048652633664,43.33752194189,33.9,99.2762210572337
Russia,2015,9277.7138671875,5.29604626,55.9429049714138,3.925,7.55,74.275919065527,13.1584362579663,36.5,96.6488882039926
Russia,2016,8663.158203125,5.28970337,56.0303350509615,3.964,7.37,74.3703138709243,13.1584362579663,36.7,96.6715881856809
Russia,2017,10658.9130859375,5.35890055,56.1253373928532,4.058,7.21,74.460036813029,13.1584362579663,35.5,96.6956032384839
